Customer ID,Account Number,"Deposit Freq (Above 4 times a week,1, otherwise 0)","Withdrawal Freq(Above 4 times a week,0, otherwise 1)",Weekly AVG Bal,Loan Amt,Awarded (Y/N)
BC29663587,1481069495,0,0,"14,303","80,000",No
BC22649827,1440042032,1,0,47070,"120,000",No
BC24487721,1419264171,1,1,34461,"100,000",Yes
BC29258811,1438854894,0,0,9419,"60,000",No
BC23758498,1289572118,1,1,46420,"150,000",Yes
BC23736879,1424373494,1,1,47660,"120,000",Yes
BC29778874,1264152209,1,1,25081,"85,000",Yes
BC21594804,1364571805,1,1,45919,"100,000",Yes
BC26125816,1311919997,0,0,8933,"50,000",No
BC26293213,1469149683,0,1,17970,"65,000",No
BC21373775,1393469530,0,1,22623,"80,000",Yes
BC28235817,1376402757,1,1,28206,"100,000",Yes
BC26685599,1468402833,1,0,14430,"125,000",No
BC22108298,1419264516,0,0,48971,"200,000",No
BC26685579,1403846125,1,1,19112,"45,000",Yes
